avg,elo,ff,loss
1112427,1155,101,186
1112495,1200,17,26
1112606,1054,65,77
1113415,1284,90,107
1113456,1017,52,55
1114472,1124,22,48
1114598,970,119,142
1115250,1221,4,10
1115597,925,601,690
1115769,1104,134,253
1116120,1424,0,13
1116136,900,24,24
1117134,960,3,6
1118072,1292,34,78
1118501,1081,88,94
1119288,859,101,128
1119348,1157,2,5
1119382,1145,104,161
1119417,1143,111,178
1119526,1352,0,1
1119920,756,21,21
1120151,1139,14,20
1120483,1000,14,14
1120713,1402,15,108
1121370,1147,25,32
1121507,1278,9,27
1123117,1259,7,12
1123425,1201,19,30
1123553,1212,24,51
1123587,1319,37,64
1123752,1013,6,11
1124285,1230,17,24
1124521,1044,5,7
1125053,1150,8,12
1125094,1173,14,19
1125715,1114,41,61
1125958,1075,13,30
1126622,965,12,14
1126837,1099,8,11
1129277,1039,30,37
1129431,1080,388,477
1129985,1271,1,3
1130559,1160,28,35
1131187,924,51,56
1131990,944,48,50
1132503,1266,18,36
1132704,1092,75,98
1132847,1152,65,138
1133097,1154,36,43
1134717,1202,10,18
1135230,975,14,24
1135511,708,11,11
1135663,1239,2,2
1136004,1428,1,2
1136591,1165,4,5
1137482,1248,4,6
1138106,1205,21,57
1138565,1022,40,47
1138731,1278,30,211
1139205,1242,71,95
1139356,1229,309,422
1139357,1271,0,0
1139437,1171,22,29
1140176,839,41,47
1140313,1200,41,55
1140360,1476,2,18
1140671,1142,185,275
1141366,1214,3,4
1142975,1102,355,454
1144607,1173,66,192
1144723,1305,1,4
1145682,1060,5,9
1146400,1316,140,464
1146576,1118,215,238
1146795,1217,148,309
1147140,1307,2,9
1147618,1005,42,49
1147656,1285,2,2
1147673,1067,12,19
1147963,1073,250,343
1148202,960,38,45
1148272,1265,44,62
1148365,1125,12,15
1148750,1032,22,30
1149226,1219,113,171
1149678,1115,1,1
1149718,1313,26,112
1150888,1043,39,52
1151276,1244,9,35
1151321,1226,38,82
1151492,1103,10,13
1151905,884,23,24
1152600,726,25,25
1153201,1152,13,18
1153621,1332,33,59
1154863,1177,75,131
1154923,1119,5,10
1154940,984,10,10
1155399,840,107,115
1155399,1065,29,101
1156082,1289,114,158
1156461,1201,96,111
1156515,1166,35,49
1156656,979,31,42
1156974,1065,61,80
1157117,1275,24,66
1157121,1102,45,73
1157263,1040,15,26
1158149,964,21,29
1158213,1101,38,64
1158540,1134,55,89
1158654,919,108,114
1160377,739,5,5
1160764,1204,7,23
1161024,964,3,3
1161357,1034,58,90
1162679,1097,97,148
1164346,1090,5,7
1164412,1247,50,135
1164438,1115,35,56
1164533,1071,10,13
1165003,1313,59,88
1165047,1098,78,98
1165934,1055,28,42
1166189,924,4,4
1166669,1064,19,29
1166841,1231,100,166
1168099,1113,27,38
1168146,1073,345,389
1169038,1025,83,94
1169390,944,5,5
1169656,1003,17,19
1170121,1349,70,144
1171077,1165,47,94
1172437,784,16,17
1172964,1141,88,120
1173453,1261,2,4
1173768,861,11,11
1174459,1474,32,48
1174858,1025,96,110
1175147,1160,72,129
1176444,1205,45,77
1176880,1115,26,30
1177033,1195,1,8
1177597,1032,218,229
1177795,783,25,25
1177851,1140,80,121
1179588,1016,10,15
1179727,1223,12,23
1179833,1185,0,3
1179974,1140,2,5
1180329,1072,2,4
1181522,1106,59,71
1182621,1141,130,244
1183152,1235,13,59
1183870,1092,131,140
1183979,1097,20,23
1184648,1135,9,18
1184856,1104,5,11
1185588,1037,6,14
1186233,988,22,23
1186310,1070,17,21
1186315,1169,0,4
1186843,1112,68,88
1187092,1051,6,11
1188175,943,22,22
1188187,864,33,39
1188460,1195,0,12
1188683,1046,6,7
1189510,1040,33,63
1189550,1205,6,11
1189564,1098,15,24
1189968,1182,284,320
1190007,1002,107,109
1190301,1187,10,22
1190482,1071,45,65
1191285,765,31,31
1191388,1229,29,44
1191462,975,8,8
1191786,1017,8,13
1192443,1166,10,32
1192467,1146,436,517
1192539,1141,32,70
1192552,898,52,60
1192971,1155,3,4
1193730,957,48,60
1193987,1133,45,63
1194597,1167,14,30
1194663,1215,0,7
1196320,1121,64,165
1197726,773,214,251
1197780,1244,19,32
1198078,1016,85,107
1198380,1030,97,129
1198947,1061,57,87
1199282,1310,232,340
1200561,1215,1,3
1200969,1321,14,32
1201292,961,95,104
1202053,1142,3,5
1203762,1034,3,5
1205041,1252,12,28
1205704,967,7,10
1205838,1207,21,35
1206064,1194,9,15
1206660,1250,1,7
1206993,1079,145,248
1207042,912,30,34
1209576,934,23,27
1210146,773,146,151
