date,time,elo,bastion,ow
1680617693,628405,1280,,RUINED_PORTAL
1680617974,1747159,848,,SHIPWRECK
1680618013,1253751,1487,,BURIED_TREASURE
1680618399,1426388,1414,,SHIPWRECK
1680618619,750889,1362,,VILLAGE
1680618944,1144821,1272,,RUINED_PORTAL
1680619360,1511584,812,,VILLAGE
1680619419,965190,983,,VILLAGE
1680619479,815231,1375,,RUINED_PORTAL
1680619696,1021646,1127,,VILLAGE
1680620047,900387,1431,,SHIPWRECK
1680620047,887350,1445,,RUINED_PORTAL
1680646928,863204,1240,,SHIPWRECK
1680647073,855716,1533,,DESERT_TEMPLE
1680647174,1027929,1342,,SHIPWRECK
1680647502,3074104,963,,VILLAGE
1680647512,939696,1329,,RUINED_PORTAL
1680647562,791510,1334,,SHIPWRECK
1680647820,1373128,1381,,BURIED_TREASURE
1680647839,866464,1384,,BURIED_TREASURE
1680647897,766214,1472,,SHIPWRECK
1680647941,1649396,1043,,VILLAGE
1680648033,740717,1238,,SHIPWRECK
1680648217,1106678,1096,,VILLAGE
1680648361,1080862,1053,,VILLAGE
1680648532,902654,1347,,RUINED_PORTAL
1680648625,757654,1551,,SHIPWRECK
1680648642,698055,1400,,BURIED_TREASURE
1680648839,1249310,978,,VILLAGE
1680649085,1211954,932,,SHIPWRECK
1680649169,762590,1262,,SHIPWRECK
1680649226,653395,1128,,SHIPWRECK
1680649249,1220957,1088,,BURIED_TREASURE
1680649360,787882,1361,,RUINED_PORTAL
1680649385,676797,1565,,VILLAGE
1680649422,706856,1271,,BURIED_TREASURE
1680649506,838371,1379,,SHIPWRECK
1680649690,1509940,939,,RUINED_PORTAL
1680649989,913455,1097,,DESERT_TEMPLE
1680650317,811116,1580,,BURIED_TREASURE
1680650362,1083224,931,,SHIPWRECK
1680650421,772515,1346,,VILLAGE
1680650582,831133,1506,,DESERT_TEMPLE
1680650603,1112919,1232,,SHIPWRECK
1680650922,724819,1191,,RUINED_PORTAL
1680650926,1133501,1023,,VILLAGE
1680692932,1185676,1164,,SHIPWRECK
1680693913,1339685,1214,,VILLAGE
1680694157,838551,1061,,RUINED_PORTAL
1680694210,885930,1162,,SHIPWRECK
1680694322,983915,1383,,VILLAGE
1680694406,1233637,1049,,SHIPWRECK
1680694911,996124,1390,,SHIPWRECK
1680695715,1195895,1067,,VILLAGE
1680696490,1500211,882,,VILLAGE
1680696759,1448966,1108,,DESERT_TEMPLE
1680697263,1231691,1288,,BURIED_TREASURE
1680697863,2105834,842,,DESERT_TEMPLE
1680698060,987347,1064,,VILLAGE
1680698421,2278581,990,,SHIPWRECK
1680698756,1061552,1083,,DESERT_TEMPLE
1680698779,1246038,1195,,BURIED_TREASURE
1680699110,2353335,1118,,SHIPWRECK
1680699623,838045,1722,,RUINED_PORTAL
1680699827,1236812,1120,,VILLAGE
1680700015,1158916,1099,,RUINED_PORTAL
1680700147,1603924,1045,,SHIPWRECK
1680729357,1016085,1578,,BURIED_TREASURE
1680729415,979859,1118,,RUINED_PORTAL
1680729603,758661,1225,,BURIED_TREASURE
1680729673,1696174,1099,,BURIED_TREASURE
1680730070,1494197,1040,,VILLAGE
1680730090,911447,1427,,VILLAGE
1680730467,1255174,1059,,SHIPWRECK
1680730744,982473,1359,,BURIED_TREASURE
1680730800,662949,1441,,VILLAGE
1680730872,1084713,1178,,VILLAGE
1680730913,993061,1286,,BURIED_TREASURE
1680731214,1575936,1252,,DESERT_TEMPLE
1680731239,1041130,1354,,BURIED_TREASURE
1680731296,1183417,1123,,VILLAGE
1680731564,848035,1298,,RUINED_PORTAL
1680731609,911139,1073,,RUINED_PORTAL
1680731664,1220871,849,,DESERT_TEMPLE
1680731690,873002,1154,,VILLAGE
1680731722,841592,1412,,SHIPWRECK
1680732053,1938157,1270,,BURIED_TREASURE
1680732242,845430,1137,,BURIED_TREASURE
1680732336,786860,1370,,BURIED_TREASURE
1680732576,1004251,1316,,BURIED_TREASURE
1680732794,1088856,1323,,BURIED_TREASURE
1680732832,1402008,,,SHIPWRECK
1680733025,947248,1298,,VILLAGE
1680733316,1166479,1096,,DESERT_TEMPLE
1680733363,959661,1492,,SHIPWRECK
1680771602,789734,1253,,RUINED_PORTAL
1680772208,679878,,,VILLAGE
1680772909,823578,1447,,SHIPWRECK
1680773469,927193,,,VILLAGE
1680773592,1240489,836,,VILLAGE
1680773672,787177,1260,,SHIPWRECK
1680773900,948767,1312,,BURIED_TREASURE
1680774064,630857,1450,,SHIPWRECK
1680774640,1058145,1427,,BURIED_TREASURE
1680774846,864360,1340,,DESERT_TEMPLE
1680776259,1284209,1252,,VILLAGE
1680776779,1339594,,,SHIPWRECK
1680776841,980411,970,,DESERT_TEMPLE
1680777011,705847,1382,,BURIED_TREASURE
1680777283,892874,1276,,SHIPWRECK
1680777667,809899,1276,,RUINED_PORTAL
1680778153,825627,1316,,DESERT_TEMPLE
1680807453,926507,1652,,VILLAGE
1680807463,901379,1453,,SHIPWRECK
